[info]09:28:07 tester (411.TEST, 21) getPromoData (0.25 s)[192.168.37.33]
[info]09:57:06 tester (411.TEST, 21) ia motorizari 4955 (0.46 s)[192.168.37.33]
[info]09:57:06 tester (411.TEST, 21) ia motorizari 10253 (0.34 s)[192.168.37.33]
[info]09:57:06 tester (411.TEST, 21) ia motorizari 6724 (0.15 s)[192.168.37.33]
[info]09:57:07 tester (411.TEST, 21) ia motorizari 11611 (0.68 s)[192.168.37.33]
[info]09:57:07 tester (411.TEST, 21) ia motorizari 11282 (0.46 s)[192.168.37.33]
[info]09:57:07 tester (411.TEST, 21) ia motorizari 5143 (0.28 s)[192.168.37.33]
[info]09:57:08 tester (411.TEST, 21) ia motorizari 10459 (0.59 s)[192.168.37.33]
[info]09:57:09 tester (411.TEST, 21) ia motorizari 253 (0.70 s)[192.168.37.33]
[info]09:57:09 tester (411.TEST, 21) ia motorizari 4731 (0.39 s)[192.168.37.33]
[info]09:57:11 tester (411.TEST, 21) ia motorizari 5376 (0.32 s)[192.168.37.33]
[info]09:57:11 tester (411.TEST, 21) ia motorizari 6418 (0.94 s)[192.168.37.33]
[info]09:57:12 tester (411.TEST, 21) ia motorizari 8031 (0.39 s)[192.168.37.33]
[info]09:57:12 tester (411.TEST, 21) ia motorizari 3485 (0.44 s)[192.168.37.33]
[info]09:57:13 tester (411.TEST, 21) ia motorizari 4797 (0.31 s)[192.168.37.33]
[info]09:57:13 tester (411.TEST, 21) ia motorizari 5377 (0.39 s)[192.168.37.33]
[info]09:57:13 tester (411.TEST, 21) ia motorizari 6988 (0.36 s)[192.168.37.33]
[info]09:57:14 tester (411.TEST, 21) ia motorizari 4840 (0.35 s)[192.168.37.33]
[info]09:57:14 tester (411.TEST, 21) ia motorizari 6243 (0.41 s)[192.168.37.33]
[info]09:57:15 tester (411.TEST, 21) ia motorizari 8030 (0.35 s)[192.168.37.33]
[info]09:57:15 tester (411.TEST, 21) ia motorizari 8159 (0.33 s)[192.168.37.33]
[info]09:57:15 tester (411.TEST, 21) ia motorizari 258 (0.28 s)[192.168.37.33]
[info]09:57:17 tester (411.TEST, 21) ia motorizari 1891 (0.37 s)[192.168.37.33]
[info]09:57:17 tester (411.TEST, 21) ia motorizari 5110 (0.53 s)[192.168.37.33]
[info]09:57:18 tester (411.TEST, 21) ia motorizari 9154 (0.46 s)[192.168.37.33]
[info]09:57:18 tester (411.TEST, 21) ia motorizari 5546 (0.22 s)[192.168.37.33]
[info]09:57:18 tester (411.TEST, 21) ia motorizari 10161 (0.32 s)[192.168.37.33]
[info]09:57:18 tester (411.TEST, 21) ia motorizari 3468 (0.23 s)[192.168.37.33]
[info]09:57:19 tester (411.TEST, 21) ia motorizari 3395 (0.15 s)[192.168.37.33]
[info]09:57:19 tester (411.TEST, 21) ia motorizari 5381 (0.13 s)[192.168.37.33]
[info]09:57:19 tester (411.TEST, 21) ia motorizari 9627 (0.16 s)[192.168.37.33]
[info]09:57:19 tester (411.TEST, 21) ia motorizari 8986 (0.31 s)[192.168.37.33]
[info]09:57:20 tester (411.TEST, 21) ia motorizari 265 (0.28 s)[192.168.37.33]
[info]09:57:20 tester (411.TEST, 21) ia motorizari 4935 (0.40 s)[192.168.37.33]
[info]09:57:20 tester (411.TEST, 21) ia motorizari 8627 (0.39 s)[192.168.37.33]
[info]09:57:21 tester (411.TEST, 21) ia motorizari 4632 (0.25 s)[192.168.37.33]
[info]09:57:21 tester (411.TEST, 21) ia motorizari 438 (0.23 s)[192.168.37.33]
[info]09:57:21 tester (411.TEST, 21) ia motorizari 194 (0.32 s)[192.168.37.33]
[info]09:57:21 tester (411.TEST, 21) ia motorizari 202 (0.12 s)[192.168.37.33]
[info]09:57:21 tester (411.TEST, 21) ia motorizari 8552 (0.07 s)[192.168.37.33]
[info]09:57:23 tester (411.TEST, 21) ia motorizari 8553 (0.23 s)[192.168.37.33]
[info]09:57:23 tester (411.TEST, 21) ia motorizari 9731 (0.38 s)[192.168.37.33]
[info]09:57:23 tester (411.TEST, 21) ia motorizari 7534 (0.31 s)[192.168.37.33]
[info]09:57:24 tester (411.TEST, 21) ia motorizari 5461 (0.32 s)[192.168.37.33]
[info]09:57:24 tester (411.TEST, 21) ia motorizari 14159 (0.26 s)[192.168.37.33]
[info]09:57:24 tester (411.TEST, 21) ia motorizari 3910 (0.29 s)[192.168.37.33]
[info]09:57:24 tester (411.TEST, 21) ia motorizari 6244 (0.30 s)[192.168.37.33]
[info]09:57:25 tester (411.TEST, 21) ia motorizari 8262 (0.24 s)[192.168.37.33]
[info]09:57:25 tester (411.TEST, 21) ia motorizari 4554 (0.21 s)[192.168.37.33]
[info]09:57:25 tester (411.TEST, 21) ia motorizari 5544 (0.50 s)[192.168.37.33]
[info]09:57:26 tester (411.TEST, 21) ia motorizari 3851 (0.24 s)[192.168.37.33]
[info]09:57:26 tester (411.TEST, 21) ia motorizari 12912 (0.27 s)[192.168.37.33]
[info]09:57:26 tester (411.TEST, 21) ia motorizari 5608 (0.27 s)[192.168.37.33]
[info]09:57:27 tester (411.TEST, 21) ia motorizari 4089 (0.29 s)[192.168.37.33]
[info]09:57:27 tester (411.TEST, 21) ia motorizari 13274 (0.23 s)[192.168.37.33]
[info]09:57:27 tester (411.TEST, 21) ia motorizari 485 (0.23 s)[192.168.37.33]
[info]09:57:27 tester (411.TEST, 21) ia modele pentru 505 (0.40 s)[192.168.37.33]
[info]09:57:29 tester (411.TEST, 21) ia motorizari 83 (0.26 s)[192.168.37.33]
[info]09:57:29 tester (411.TEST, 21) ia motorizari 4360 (0.25 s)[192.168.37.33]
[info]09:57:29 tester (411.TEST, 21) ia motorizari 343 (0.28 s)[192.168.37.33]
[info]09:57:29 tester (411.TEST, 21) ia motorizari 4361 (0.22 s)[192.168.37.33]
[info]09:57:30 tester (411.TEST, 21) ia motorizari 4469 (0.22 s)[192.168.37.33]
[info]09:57:30 tester (411.TEST, 21) ia motorizari 240 (0.09 s)[192.168.37.33]
[info]09:57:30 tester (411.TEST, 21) ia motorizari 267 (0.08 s)[192.168.37.33]
[info]09:57:30 tester (411.TEST, 21) ia motorizari 4493 (0.10 s)[192.168.37.33]
[info]09:57:30 tester (411.TEST, 21) ia motorizari 271 (0.24 s)[192.168.37.33]
[info]09:57:30 tester (411.TEST, 21) ia motorizari 276 (0.13 s)[192.168.37.33]
[info]09:57:31 tester (411.TEST, 21) ia motorizari 297 (0.24 s)[192.168.37.33]
[info]09:57:31 tester (411.TEST, 21) ia motorizari 302 (0.23 s)[192.168.37.33]
[info]09:57:31 tester (411.TEST, 21) ia motorizari 448 (0.22 s)[192.168.37.33]
[info]09:57:31 tester (411.TEST, 21) ia motorizari 4450 (0.24 s)[192.168.37.33]
[info]09:57:32 tester (411.TEST, 21) ia modele pentru 598 (0.26 s)[192.168.37.33]
[info]09:57:32 tester (411.TEST, 21) ia motorizari 1595 (0.24 s)[192.168.37.33]
[info]09:57:32 tester (411.TEST, 21) ia motorizari 3990 (0.22 s)[192.168.37.33]
[info]09:57:32 tester (411.TEST, 21) ia motorizari 1967 (0.23 s)[192.168.37.33]
[info]09:57:33 tester (411.TEST, 21) ia modele pentru 511 (0.76 s)[192.168.37.33]
[info]09:57:33 tester (411.TEST, 21) ia motorizari 164 (0.32 s)[192.168.37.33]
[info]09:57:35 tester (411.TEST, 21) ia motorizari 1608 (0.25 s)[192.168.37.33]
[info]09:57:35 tester (411.TEST, 21) ia motorizari 1602 (0.24 s)[192.168.37.33]
[info]09:57:35 tester (411.TEST, 21) ia motorizari 5114 (0.38 s)[192.168.37.33]
[info]09:57:36 tester (411.TEST, 21) ia motorizari 10974 (0.38 s)[192.168.37.33]
[info]09:57:36 tester (411.TEST, 21) ia motorizari 9620 (0.40 s)[192.168.37.33]
[info]09:57:36 tester (411.TEST, 21) ia motorizari 11003 (0.30 s)[192.168.37.33]
[info]09:57:37 tester (411.TEST, 21) ia motorizari 6713 (0.35 s)[192.168.37.33]
[info]09:57:37 tester (411.TEST, 21) ia motorizari 6441 (0.15 s)[192.168.37.33]
[info]09:57:37 tester (411.TEST, 21) ia motorizari 187 (0.24 s)[192.168.37.33]
[info]09:57:37 tester (411.TEST, 21) ia motorizari 1640 (0.08 s)[192.168.37.33]
[info]09:57:38 tester (411.TEST, 21) ia motorizari 12791 (0.31 s)[192.168.37.33]
[info]09:57:38 tester (411.TEST, 21) ia motorizari 13176 (0.16 s)[192.168.37.33]
[info]09:57:38 tester (411.TEST, 21) ia motorizari 13830 (0.09 s)[192.168.37.33]
[info]09:57:38 tester (411.TEST, 21) ia motorizari 11599 (0.12 s)[192.168.37.33]
[info]09:57:38 tester (411.TEST, 21) ia motorizari 1641 (0.23 s)[192.168.37.33]
[info]09:57:38 tester (411.TEST, 21) ia motorizari 224 (0.10 s)[192.168.37.33]
[info]09:57:39 tester (411.TEST, 21) ia motorizari 219 (0.23 s)[192.168.37.33]
[info]09:57:39 tester (411.TEST, 21) ia motorizari 286 (0.16 s)[192.168.37.33]
[info]09:57:39 tester (411.TEST, 21) ia motorizari 290 (0.46 s)[192.168.37.33]
[info]09:57:41 tester (411.TEST, 21) ia motorizari 304 (0.50 s)[192.168.37.33]
[info]09:57:41 tester (411.TEST, 21) ia motorizari 3397 (0.37 s)[192.168.37.33]
[info]09:57:42 tester (411.TEST, 21) ia motorizari 5389 (0.97 s)[192.168.37.33]
[info]09:57:43 tester (411.TEST, 21) ia motorizari 9831 (0.72 s)[192.168.37.33]
[info]09:57:43 tester (411.TEST, 21) ia motorizari 430 (0.39 s)[192.168.37.33]
[info]09:57:44 tester (411.TEST, 21) ia motorizari 434 (0.61 s)[192.168.37.33]
[info]09:57:44 tester (411.TEST, 21) ia motorizari 4571 (0.43 s)[192.168.37.33]
[info]09:57:45 tester (411.TEST, 21) ia motorizari 6241 (0.73 s)[192.168.37.33]
[info]09:57:45 tester (411.TEST, 21) ia motorizari 299 (0.11 s)[192.168.37.33]
[info]09:57:45 tester (411.TEST, 21) ia motorizari 4751 (0.29 s)[192.168.37.33]
[info]09:57:47 tester (411.TEST, 21) ia motorizari 11207 (0.33 s)[192.168.37.33]
[info]09:57:47 tester (411.TEST, 21) ia motorizari 294 (0.22 s)[192.168.37.33]
[info]09:57:47 tester (411.TEST, 21) ia motorizari 1311 (0.23 s)[192.168.37.33]
[info]09:57:48 tester (411.TEST, 21) ia motorizari 4088 (0.30 s)[192.168.37.33]
[info]09:57:48 tester (411.TEST, 21) ia motorizari 5430 (0.34 s)[192.168.37.33]
[info]09:57:48 tester (411.TEST, 21) ia motorizari 10266 (0.30 s)[192.168.37.33]
[info]09:57:49 tester (411.TEST, 21) ia motorizari 308 (0.26 s)[192.168.37.33]
[info]09:57:49 tester (411.TEST, 21) ia motorizari 3999 (0.30 s)[192.168.37.33]
[info]09:57:49 tester (411.TEST, 21) ia motorizari 5569 (0.38 s)[192.168.37.33]
[info]09:57:50 tester (411.TEST, 21) ia motorizari 11600 (0.29 s)[192.168.37.33]
[info]09:57:50 tester (411.TEST, 21) ia motorizari 11900 (0.24 s)[192.168.37.33]
[info]09:57:50 tester (411.TEST, 21) ia motorizari 11300 (0.27 s)[192.168.37.33]
[info]09:57:50 tester (411.TEST, 21) ia motorizari 456 (0.34 s)[192.168.37.33]
[info]09:57:51 tester (411.TEST, 21) ia motorizari 452 (0.23 s)[192.168.37.33]
[info]09:57:51 tester (411.TEST, 21) ia motorizari 464 (0.20 s)[192.168.37.33]
[info]09:57:51 tester (411.TEST, 21) ia motorizari 1449 (0.29 s)[192.168.37.33]
[info]09:57:53 tester (411.TEST, 21) ia motorizari 4993 (0.52 s)[192.168.37.33]
[info]09:57:53 tester (411.TEST, 21) ia motorizari 8541 (0.45 s)[192.168.37.33]
[info]09:57:53 tester (411.TEST, 21) ia motorizari 8274 (0.30 s)[192.168.37.33]
[info]09:57:54 tester (411.TEST, 21) ia motorizari 459 (0.24 s)[192.168.37.33]
[info]09:57:54 tester (411.TEST, 21) ia motorizari 1892 (0.32 s)[192.168.37.33]
[info]09:57:54 tester (411.TEST, 21) ia motorizari 5079 (0.30 s)[192.168.37.33]
[info]09:57:55 tester (411.TEST, 21) ia motorizari 8762 (0.28 s)[192.168.37.33]
[info]09:57:55 tester (411.TEST, 21) ia motorizari 1642 (0.22 s)[192.168.37.33]
[info]09:57:55 tester (411.TEST, 21) ia motorizari 3390 (0.22 s)[192.168.37.33]
[info]09:57:55 tester (411.TEST, 21) ia motorizari 486 (0.30 s)[192.168.37.33]
[info]09:57:56 tester (411.TEST, 21) ia motorizari 5086 (0.32 s)[192.168.37.33]
[info]09:57:56 tester (411.TEST, 21) ia motorizari 5087 (0.09 s)[192.168.37.33]
[info]09:57:56 tester (411.TEST, 21) ia motorizari 9159 (0.30 s)[192.168.37.33]
[info]09:57:56 tester (411.TEST, 21) ia motorizari 11034 (0.27 s)[192.168.37.33]
[info]09:57:57 tester (411.TEST, 21) ia motorizari 9160 (0.10 s)[192.168.37.33]
[info]09:57:57 tester (411.TEST, 21) ia motorizari 4002 (0.22 s)[192.168.37.33]
[info]09:57:57 tester (411.TEST, 21) ia motorizari 539 (0.25 s)[192.168.37.33]
[info]09:57:57 tester (411.TEST, 21) ia motorizari 544 (0.08 s)[192.168.37.33]
[info]09:57:57 tester (411.TEST, 21) ia motorizari 549 (0.23 s)[192.168.37.33]
[info]09:57:59 tester (411.TEST, 21) ia motorizari 4816 (0.40 s)[192.168.37.33]
[info]09:57:59 tester (411.TEST, 21) ia motorizari 7864 (0.28 s)[192.168.37.33]
[info]09:57:59 tester (411.TEST, 21) ia motorizari 14283 (0.16 s)[192.168.37.33]
[info]09:57:59 tester (411.TEST, 21) ia motorizari 2054 (0.25 s)[192.168.37.33]
[info]09:58:00 tester (411.TEST, 21) ia motorizari 4805 (0.23 s)[192.168.37.33]
[info]09:58:00 tester (411.TEST, 21) ia motorizari 67 (0.07 s)[192.168.37.33]
[info]09:58:00 tester (411.TEST, 21) ia motorizari 1435 (0.09 s)[192.168.37.33]
[info]09:58:00 tester (411.TEST, 21) ia motorizari 1790 (0.07 s)[192.168.37.33]
[info]09:58:00 tester (411.TEST, 21) ia motorizari 8277 (0.34 s)[192.168.37.33]
[info]09:58:00 tester (411.TEST, 21) ia motorizari 14383 (0.16 s)[192.168.37.33]
[info]09:58:01 tester (411.TEST, 21) ia motorizari 5085 (0.35 s)[192.168.37.33]
[info]09:58:01 tester (411.TEST, 21) ia motorizari 8763 (0.32 s)[192.168.37.33]
[info]09:58:01 tester (411.TEST, 21) ia motorizari 11945 (0.24 s)[192.168.37.33]
[info]09:58:02 tester (411.TEST, 21) ia motorizari 4343 (0.26 s)[192.168.37.33]
[info]09:58:02 tester (411.TEST, 21) ia motorizari 6414 (0.29 s)[192.168.37.33]
[info]09:58:02 tester (411.TEST, 21) ia motorizari 11482 (0.31 s)[192.168.37.33]
[info]09:58:03 tester (411.TEST, 21) ia motorizari 7378 (0.27 s)[192.168.37.33]
[info]09:58:03 tester (411.TEST, 21) ia motorizari 12845 (0.23 s)[192.168.37.33]
[info]09:58:03 tester (411.TEST, 21) ia motorizari 138 (0.22 s)[192.168.37.33]
[info]09:58:03 tester (411.TEST, 21) ia motorizari 3483 (0.26 s)[192.168.37.33]
[info]09:58:05 tester (411.TEST, 21) ia motorizari 2079 (0.25 s)[192.168.37.33]
[info]09:58:05 tester (411.TEST, 21) ia motorizari 4924 (0.28 s)[192.168.37.33]
[info]09:58:05 tester (411.TEST, 21) ia motorizari 8033 (0.27 s)[192.168.37.33]
[info]09:58:05 tester (411.TEST, 21) ia motorizari 5516 (0.07 s)[192.168.37.33]
[info]09:58:06 tester (411.TEST, 21) ia motorizari 4279 (0.29 s)[192.168.37.33]
[info]09:58:06 tester (411.TEST, 21) ia motorizari 11443 (0.27 s)[192.168.37.33]
[info]09:58:06 tester (411.TEST, 21) ia motorizari 11902 (0.23 s)[192.168.37.33]
[info]09:58:08 tester (411.TEST, 21) ia modele pentru 602 (1.65 s)[192.168.37.33]
[info]09:58:08 tester (411.TEST, 21) ia motorizari 4090 (0.24 s)[192.168.37.33]
[info]09:58:08 tester (411.TEST, 21) ia motorizari 5889 (0.12 s)[192.168.37.33]
[info]09:58:08 tester (411.TEST, 21) ia motorizari 5887 (0.27 s)[192.168.37.33]
[info]09:58:08 tester (411.TEST, 21) ia motorizari 5890 (0.07 s)[192.168.37.33]
[info]09:58:09 tester (411.TEST, 21) ia motorizari 5888 (0.07 s)[192.168.37.33]
[info]09:58:09 tester (411.TEST, 21) ia motorizari 7535 (0.25 s)[192.168.37.33]
[info]09:58:09 tester (411.TEST, 21) ia motorizari 7372 (0.15 s)[192.168.37.33]
[info]09:58:09 tester (411.TEST, 21) ia motorizari 9591 (0.14 s)[192.168.37.33]
[info]09:58:09 tester (411.TEST, 21) ia motorizari 5556 (0.33 s)[192.168.37.33]
[info]09:58:11 tester (411.TEST, 21) ia motorizari 9592 (0.16 s)[192.168.37.33]
[info]09:58:11 tester (411.TEST, 21) ia motorizari 1990 (0.22 s)[192.168.37.33]
[info]09:58:11 tester (411.TEST, 21) ia motorizari 1976 (0.22 s)[192.168.37.33]
[info]09:58:11 tester (411.TEST, 21) ia motorizari 3514 (0.44 s)[192.168.37.33]
[info]09:58:12 tester (411.TEST, 21) ia motorizari 5912 (0.23 s)[192.168.37.33]
[info]09:58:12 tester (411.TEST, 21) ia motorizari 5916 (0.26 s)[192.168.37.33]
[info]09:58:12 tester (411.TEST, 21) ia motorizari 5915 (0.21 s)[192.168.37.33]
[info]09:58:12 tester (411.TEST, 21) ia motorizari 5917 (0.21 s)[192.168.37.33]
[info]09:58:13 tester (411.TEST, 21) ia motorizari 1999 (0.32 s)[192.168.37.33]
[info]09:58:13 tester (411.TEST, 21) ia motorizari 1997 (0.26 s)[192.168.37.33]
[info]09:58:13 tester (411.TEST, 21) ia motorizari 9590 (0.33 s)[192.168.37.33]
[info]09:58:14 tester (411.TEST, 21) ia motorizari 1998 (0.29 s)[192.168.37.33]
[info]09:58:14 tester (411.TEST, 21) ia motorizari 5921 (0.16 s)[192.168.37.33]
[info]09:58:14 tester (411.TEST, 21) ia motorizari 9589 (0.23 s)[192.168.37.33]
[info]09:58:15 tester (411.TEST, 21) ia motorizari 2000 (0.79 s)[192.168.37.33]
[info]09:58:15 tester (411.TEST, 21) ia motorizari 2001 (0.30 s)[192.168.37.33]
